,home,away,home_goals,away_goals,media_goals_home,media_goals_away,media_victories_home,media_victories_away,home_h2h_mean,away_h2h_mean,odds,indefinido,perde,ganha,reembolso,draw_no_bet_team_1.0,draw_no_bet_team_2.0
217,11232199,11226681,3.0,1.0,2.6,1.8,0.4,0.2,3.0,3.3333333333333335,1.727,False,False,True,False,True,False
218,11226241,11225746,2.0,4.0,2.0,2.8,0.2,0.6,,,,True,False,False,False,False,False
219,11226245,11226675,1.0,4.0,3.4,2.8,0.6,0.6,2.0,6.0,1.8,False,True,False,False,True,False
220,11226681,11226255,1.0,2.0,2.0,2.0,0.2,0.4,2.5,4.5,1.8,False,True,False,False,True,False
221,11225753,11260654,1.0,2.0,1.2,2.0,0.4,0.6,,,1.909,False,True,False,False,True,False
222,11225746,11226245,2.0,5.0,3.4,3.8,0.4,0.4,1.0,3.0,2.1,False,True,False,False,True,False
223,11235981,11226241,5.0,1.0,3.6,2.0,0.6,0.0,2.0,1.0,1.444,False,False,True,False,True,False
224,11226681,11260654,0.0,1.0,2.0,2.0,0.2,0.6,2.0,5.0,1.666,False,True,False,False,True,False
225,11232199,11226255,2.0,4.0,2.6,2.0,0.4,0.4,2.0,2.0,1.615,False,True,False,False,True,False
226,11226245,11235981,5.0,4.0,3.4,3.0,0.6,0.2,,,1.727,False,False,True,False,True,False
227,11226675,11225746,1.0,2.0,2.6,2.8,0.6,0.6,1.0,3.0,,True,False,False,False,False,False
228,11260654,11232199,5.0,4.0,2.6,2.2,0.4,0.2,1.5,1.0,2.0,False,False,True,False,True,False
229,11225753,11226681,1.0,0.0,1.2,1.8,0.4,0.2,,,2.0,False,False,True,False,True,False
230,11235981,11226675,5.0,1.0,3.6,2.8,0.6,0.6,2.0,2.0,1.909,False,False,True,False,True,False
231,11226241,11226245,2.0,6.0,2.0,3.8,0.2,0.4,,,3.0,False,True,False,False,True,False
232,11232199,11225753,1.0,4.0,2.6,2.2,0.4,0.2,,,1.533,False,True,False,False,True,False
233,11226255,11260654,3.0,2.0,2.4,2.0,0.6,0.6,3.0,0.0,1.909,False,False,True,False,True,False
234,11226675,11226241,4.0,1.0,2.6,2.0,0.6,0.0,,,1.5,False,False,True,False,True,False
235,11225746,11235981,7.0,5.0,3.4,3.0,0.4,0.2,,,1.727,False,False,True,False,True,False
236,11225753,11226255,1.0,1.0,1.2,2.0,0.4,0.4,2.0,1.0,,True,False,False,False,False,False
237,11226681,11232199,3.0,1.0,2.0,2.2,0.2,0.2,3.6666666666666665,4.0,2.0,False,False,True,False,True,False
238,11226255,11226681,3.0,3.0,2.4,1.8,0.6,0.2,1.5,0.5,1.909,False,False,False,True,True,False
239,11260654,11225753,3.0,2.0,2.6,2.2,0.4,0.2,,,1.8,False,False,True,False,True,False
240,11257889,11226736,2.0,0.0,2.4,3.2,0.4,0.8,2.3333333333333335,3.3333333333333335,,True,False,False,False,False,False
241,11226306,11226311,1.0,5.0,1.6,2.6,0.0,0.2,2.5,2.5,,True,False,False,False,False,False
242,11227265,11226253,2.0,3.0,2.2,2.4,0.4,0.4,1.0,1.0,2.1,False,True,False,False,True,False
243,11222748,11232214,0.0,1.0,1.8,1.6,0.2,0.4,2.0,1.5,2.25,False,True,False,False,True,False
244,11226306,11257889,1.0,4.0,1.6,3.6,0.0,0.8,1.0,3.0,,True,False,False,False,False,False
245,11226311,11226736,3.0,5.0,1.4,3.2,0.0,0.8,1.5,1.5,,True,False,False,False,False,False
246,11232214,11227265,4.0,5.0,2.8,2.8,0.4,0.2,3.0,3.0,1.727,False,True,False,False,True,False
247,11226253,11225775,1.0,2.0,2.6,1.6,0.4,0.6,,,1.727,False,True,False,False,True,False
248,11226736,11226306,4.0,1.0,3.0,1.4,0.4,0.2,3.5,2.0,1.444,False,False,True,False,True,False
